Disaster Type,Africa,Americas,Asia,Europe,Oceania,All
Drought,867131,130,9663477,1200002,684,11731424
Earthquake,21417,440668,1603361,267794,6497,2339737
Epidemic,497210,76169,6532449,2500475,7257,9613560
Extreme temperature,372,9612,27682,154618,509,192793
Flood,31359,106160,6843940,9568,588,6991615
Fog,0,0,0,4000,0,4000
Glacial lake outburst,0,0,234,0,0,234
Landslide,3150,20929,25425,16843,579,66926
Mass movement (dry),222,2577,1649,110,86,4644
Storm,7825,106928,1279600,3623,2258,1400234
Volcanic activity,2218,63319,16844,735,3686,86802
Wildfire,337,1833,863,869,533,4435
