Country,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Total
"""Korea, South""",0,2,2,5,3,39,0,0,0,0,9,0,60,0,4,124
Afghanistan,0,7,33,20,7,96,0,0,0,1,27,0,9,0,1,201
Albania,0,1,16,2,5,15,0,0,0,0,1,0,2,0,1,43
Algeria,0,1,21,2,3,51,0,0,0,2,1,0,4,0,2,87
American Samoa,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,6
Angola,0,8,0,20,0,43,0,0,0,0,1,0,0,0,0,72
Anguilla,0,1,0,5,0,1,0,0,0,0,0,0,7,0,0,14
Antigua and Barbuda,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,13
Argentina,0,4,5,2,8,66,0,0,0,0,5,0,23,4,5,122
Armenia,0,1,2,0,1,3,0,0,0,0,1,0,4,0,0,12
Australia,0,11,3,2,7,65,0,0,0,2,2,0,109,0,42,243
Austria,0,0,1,0,6,17,0,0,0,0,8,0,20,0,0,52
Azerbaijan,0,1,6,0,1,7,0,0,0,0,1,0,0,0,0,16
Azores Islands,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,6
Bahamas,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,28
Bahrain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bangladesh,0,7,9,31,24,96,0,0,0,0,6,0,181,0,0,354
Barbados,0,1,1,0,0,2,0,0,0,0,0,0,8,0,0,12
Belarus,0,0,0,2,6,4,0,0,0,0,0,0,2,0,0,14
Belgium,0,1,2,1,14,23,0,0,0,0,0,0,30,0,0,71
Belize,0,0,0,0,1,5,0,0,0,0,0,0,16,0,0,22
Benin,0,2,0,26,0,20,0,0,0,0,0,0,1,0,3,52
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
Bhutan,0,0,2,2,0,3,0,0,0,0,0,0,2,0,1,10
Bolivia (Plurinational State of),0,13,2,13,5,49,0,0,0,0,9,0,2,1,5,99
Bosnia and Herzegovina,0,2,0,1,4,16,0,0,0,0,1,0,2,0,0,26
Botswana,0,7,0,3,0,11,0,0,0,1,0,0,1,0,0,23
Brazil,0,19,2,18,8,147,0,0,0,1,25,0,20,0,4,244
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bulgaria,0,2,6,0,9,20,0,0,0,0,1,0,6,0,4,48
Burkina Faso,0,14,0,25,0,23,0,0,0,3,0,0,0,0,0,65
Burundi,0,6,1,15,0,29,0,0,0,0,3,0,7,0,0,61
Cabo Verde,0,10,0,2,0,1,0,0,0,2,0,0,3,2,0,20
Cambodia,0,6,0,9,0,21,0,0,0,0,0,0,6,0,0,42
Cameroon,0,5,0,25,0,17,0,0,0,2,2,0,0,3,0,54
Canada,0,5,1,7,6,44,0,0,0,0,3,5,46,0,24,141
Canary Is,0,0,0,0,1,2,0,0,0,0,0,0,3,0,1,7
Cayman Islands (the),0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
Central African Republic,0,1,0,13,0,17,0,0,0,0,0,0,10,0,2,43
Chad,0,11,0,23,0,20,0,0,0,5,1,0,3,0,0,63
Chile,0,2,28,1,9,35,0,0,0,0,5,0,15,9,13,117
China,0,40,195,10,14,307,0,0,0,1,74,7,314,0,8,970
Colombia,0,2,30,6,0,89,0,0,0,1,44,3,11,11,3,200
Comoros,0,1,1,6,0,2,0,0,0,0,0,0,9,6,0,25
Congo (Kinshasa),0,2,5,77,0,35,0,0,0,0,8,0,5,3,3,138
Congo (the),0,1,0,19,0,13,0,0,0,0,1,0,0,0,0,34
Cook Islands,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,14
Costa Rica,0,5,17,3,0,29,0,0,0,0,1,0,10,7,2,74
Côte d’Ivoire,0,1,0,14,0,14,0,0,0,0,1,0,0,0,0,30
Croatia,0,1,3,0,6,12,0,0,0,0,0,0,2,0,6,30
Cuba,0,7,2,2,0,24,0,0,0,0,0,0,47,0,2,84
Cyprus,0,2,2,2,3,0,0,0,0,0,0,0,4,0,1,14
Czechia,0,0,0,0,6,13,0,0,0,0,0,0,8,0,0,27
Czechoslovakia,0,0,0,0,3,1,0,0,0,0,2,0,3,0,0,9
Denmark,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,16
Djibouti,0,9,0,5,0,9,0,0,0,1,0,0,2,0,0,26
Dominica,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,15
Dominican Republic,0,1,2,9,0,29,0,0,0,0,0,0,39,0,3,83
Ecuador,0,4,19,13,0,34,0,0,0,0,16,1,0,14,3,104
Egypt,0,0,6,3,4,13,0,0,0,0,0,2,8,0,0,36
El Salvador,0,7,11,11,1,17,0,0,0,0,3,0,19,2,0,71
Equatorial Guinea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Eritrea,0,3,0,0,0,2,0,0,0,2,0,0,1,0,0,8
Estonia,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4
Ethiopia,0,16,2,28,0,57,0,0,0,5,7,1,0,3,1,120
Fiji,0,3,2,1,0,12,0,0,0,0,0,0,44,0,0,62
Finland,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3
France,0,4,4,2,20,54,0,0,0,0,13,0,70,0,13,180
French Guiana,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3
French Polynesia,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,8
Gabon,0,0,0,8,0,2,0,0,0,0,0,0,3,0,0,13
Gambia,0,9,0,4,0,9,0,0,0,4,0,0,5,0,1,32
Georgia,0,1,4,0,0,17,0,0,0,0,0,0,3,0,0,25
Germany,0,0,2,2,13,17,0,0,0,0,1,0,45,0,0,80
Germany Dem Rep,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Germany Fed Rep,0,0,1,0,1,7,0,0,0,0,0,0,10,0,1,20
Ghana,0,3,1,22,0,25,0,0,0,0,0,0,1,0,1,53
Greece,0,1,42,0,8,28,0,0,0,0,0,0,9,0,14,102
Grenada,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,7
Guadeloupe,0,0,1,1,0,1,0,0,0,0,0,0,13,1,0,17
Guam,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,10
Guatemala,0,7,16,10,4,33,0,0,0,0,11,2,20,13,2,118
Guinea,0,2,1,16,0,14,0,0,0,0,1,0,1,0,1,36
Guinea-Bissau,0,6,0,8,0,4,0,0,0,3,0,0,3,0,1,25
Guyana,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,11
Haiti,0,9,3,8,0,61,0,0,0,0,2,0,45,0,0,128
Honduras,0,12,3,10,0,38,0,0,0,0,1,1,26,0,1,92
Hong Kong,0,7,0,1,1,25,0,0,0,0,6,0,65,0,32,137
Hungary,0,3,1,0,6,16,0,0,0,0,0,0,8,0,0,34
Iceland,0,0,3,0,0,1,0,0,0,0,4,0,0,5,0,13
India,0,16,26,70,60,306,0,1,0,1,51,2,203,0,4,740
Indonesia,0,10,133,35,0,235,0,0,0,0,63,1,13,59,11,560
Iran (Islamic Republic of),0,2,130,3,1,91,0,0,0,1,5,0,13,0,1,247
Iraq,0,2,2,7,0,15,0,0,0,0,0,0,0,0,0,26
Ireland,0,0,0,2,0,6,0,0,0,0,0,0,16,0,0,24
Israel,0,1,1,1,2,5,0,0,0,0,1,0,4,0,5,20
Italy,0,4,43,2,11,52,0,0,0,0,16,0,30,6,7,171
Jamaica,0,4,1,5,0,13,0,0,0,0,1,1,31,0,0,56
Japan,0,1,68,3,16,57,0,0,0,0,22,0,187,16,1,371
Jordan,0,2,1,1,2,8,0,0,0,1,0,0,3,0,0,18
Kazakhstan,0,0,2,3,3,14,0,0,0,0,1,0,1,0,1,25
