Country,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Grand Total
"""Korea, South""",,2,2,5,3,39,,,,,9,,60,,4,124
Afghanistan,,7,33,20,7,96,,,,1,27,,9,,1,201
Albania,,1,16,2,5,15,,,,,1,,2,,1,43
Algeria,,1,21,2,3,51,,,,2,1,,4,,2,87
American Samoa,,,1,,,1,,,,,,,4,,,6
Angola,,8,,20,,43,,,,,1,,,,,72
Anguilla,,1,,5,,1,,,,,,,7,,,14
Antigua and Barbuda,,1,,,,,,,,,,,12,,,13
Argentina,,4,5,2,8,66,,,,,5,,23,4,5,122
Armenia,,1,2,,1,3,,,,,1,,4,,,12
Australia,,11,3,2,7,65,,,,2,2,,109,,42,243
Austria,,,1,,6,17,,,,,8,,20,,,52
Azerbaijan,,1,6,,1,7,,,,,1,,,,,16
Azores Islands,,,3,,,,,,,,1,,2,,,6
Bahamas,,,,,,2,,,,,,,26,,,28
Bahrain,,,,1,,,,,,,,,,,,1
Bangladesh,,7,9,31,24,96,,,,,6,,181,,,354
Barbados,,1,1,,,2,,,,,,,8,,,12
Belarus,,,,2,6,4,,,,,,,2,,,14
Belgium,,1,2,1,14,23,,,,,,,30,,,71
Belize,,,,,1,5,,,,,,,16,,,22
Benin,,2,,26,,20,,,,,,,1,,3,52
Bermuda,,,,,,,,,,,,,6,,,6
Bhutan,,,2,2,,3,,,,,,,2,,1,10
Bolivia (Plurinational State of),,13,2,13,5,49,,,,,9,,2,1,5,99
Bosnia and Herzegovina,,2,,1,4,16,,,,,1,,2,,,26
Botswana,,7,,3,,11,,,,1,,,1,,,23
Brazil,,19,2,18,8,147,,,,1,25,,20,,4,244
Brunei Darussalam,,,,,,,,,,,,,,,1,1
Bulgaria,,2,6,,9,20,,,,,1,,6,,4,48
Burkina Faso,,14,,25,,23,,,,3,,,,,,65
Burundi,,6,1,15,,29,,,,,3,,7,,,61
Cabo Verde,,10,,2,,1,,,,2,,,3,2,,20
Cambodia,,6,,9,,21,,,,,,,6,,,42
Cameroon,,5,,25,,17,,,,2,2,,,3,,54
Canada,,5,1,7,6,44,,,,,3,5,46,,24,141
Canary Is,,,,,1,2,,,,,,,3,,1,7
Cayman Islands (the),,,,,,,,,,,,,7,,,7
Central African Republic,,1,,13,,17,,,,,,,10,,2,43
Chad,,11,,23,,20,,,,5,1,,3,,,63
Chile,,2,28,1,9,35,,,,,5,,15,9,13,117
China,,40,195,10,14,307,,,,1,74,7,314,,8,970
Colombia,,2,30,6,,89,,,,1,44,3,11,11,3,200
Comoros,,1,1,6,,2,,,,,,,9,6,,25
Congo (Kinshasa),,2,5,77,,35,,,,,8,,5,3,3,138
Congo (the),,1,,19,,13,,,,,1,,,,,34
Cook Islands,,,,3,,,,,,,,,11,,,14
Costa Rica,,5,17,3,,29,,,,,1,,10,7,2,74
Côte d’Ivoire,,1,,14,,14,,,,,1,,,,,30
Croatia,,1,3,,6,12,,,,,,,2,,6,30
Cuba,,7,2,2,,24,,,,,,,47,,2,84
Cyprus,,2,2,2,3,,,,,,,,4,,1,14
Czechia,,,,,6,13,,,,,,,8,,,27
Czechoslovakia,,,,,3,1,,,,,2,,3,,,9
Denmark,,1,,,,,,,,,,,15,,,16
Djibouti,,9,,5,,9,,,,1,,,2,,,26
Dominica,,,1,,,,,,,,,,14,,,15
Dominican Republic,,1,2,9,,29,,,,,,,39,,3,83
Ecuador,,4,19,13,,34,,,,,16,1,,14,3,104
Egypt,,,6,3,4,13,,,,,,2,8,,,36
El Salvador,,7,11,11,1,17,,,,,3,,19,2,,71
Equatorial Guinea,,,,1,,,,,,,,,,,,1
Eritrea,,3,,,,2,,,,2,,,1,,,8
Estonia,,,,,3,,,,,,,,1,,,4
Ethiopia,,16,2,28,,57,,,,5,7,1,,3,1,120
Fiji,,3,2,1,,12,,,,,,,44,,,62
Finland,,,,,,1,,,,,,,2,,,3
France,,4,4,2,20,54,,,,,13,,70,,13,180
French Guiana,,,,,,2,,,,,1,,,,,3
French Polynesia,,,,,,1,,,,,3,,4,,,8
Gabon,,,,8,,2,,,,,,,3,,,13
Gambia,,9,,4,,9,,,,4,,,5,,1,32
Georgia,,1,4,,,17,,,,,,,3,,,25
Germany,,,2,2,13,17,,,,,1,,45,,,80
Germany Dem Rep,,,,,,,,,,,,,3,,,3
Germany Fed Rep,,,1,,1,7,,,,,,,10,,1,20
Ghana,,3,1,22,,25,,,,,,,1,,1,53
Greece,,1,42,,8,28,,,,,,,9,,14,102
Grenada,,1,,,,1,,,,,,,5,,,7
Guadeloupe,,,1,1,,1,,,,,,,13,1,,17
Guam,,,1,,,,,,,,,,9,,,10
Guatemala,,7,16,10,4,33,,,,,11,2,20,13,2,118
Guinea,,2,1,16,,14,,,,,1,,1,,1,36
Guinea-Bissau,,6,,8,,4,,,,3,,,3,,1,25
Guyana,,3,,,,8,,,,,,,,,,11
Haiti,,9,3,8,,61,,,,,2,,45,,,128
Honduras,,12,3,10,,38,,,,,1,1,26,,1,92
Hong Kong,,7,,1,1,25,,,,,6,,65,,32,137
Hungary,,3,1,,6,16,,,,,,,8,,,34
Iceland,,,3,,,1,,,,,4,,,5,,13
India,,16,26,70,60,306,,1,,1,51,2,203,,4,740
Indonesia,,10,133,35,,235,,,,,63,1,13,59,11,560
Iran (Islamic Republic of),,2,130,3,1,91,,,,1,5,,13,,1,247
Iraq,,2,2,7,,15,,,,,,,,,,26
Ireland,,,,2,,6,,,,,,,16,,,24
Israel,,1,1,1,2,5,,,,,1,,4,,5,20
Italy,,4,43,2,11,52,,,,,16,,30,6,7,171
Jamaica,,4,1,5,,13,,,,,1,1,31,,,56
Japan,,1,68,3,16,57,,,,,22,,187,16,1,371
Jordan,,2,1,1,2,8,,,,1,,,3,,,18
