Country,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Total
"""Korea, South""",0,0,0,179,46,4089,0,0,0,0,405,0,4389,0,3,9111
Afghanistan,0,37,11553,3845,1934,5307,0,0,0,0,1822,0,505,0,0,25003
Albania,0,0,626,7,82,23,0,0,0,0,57,0,8,0,0,803
Algeria,0,0,6771,1,48,4882,0,0,0,0,15,0,27,0,30,11774
American Samoa,0,0,34,0,0,6,0,0,0,0,0,0,90,0,0,130
Angola,0,58,0,5316,0,803,0,0,0,0,13,0,0,0,0,6190
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13
Argentina,0,8,10476,73,185,860,0,0,0,0,103,0,298,0,32,12035
Armenia,0,0,2890,0,0,5,0,0,0,0,0,0,0,0,0,2895
Australia,0,600,12,0,509,323,0,0,0,0,28,0,248,0,533,2253
Austria,0,0,0,0,358,43,0,0,0,0,358,0,38,0,0,797
Azerbaijan,0,0,119,0,5,19,0,0,0,0,11,0,0,0,0,154
Azores Islands,0,0,79,0,0,0,0,0,0,0,29,0,27,0,0,135
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,450
Bahrain,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,111
Bangladesh,0,1900018,45,403203,2524,52987,0,0,0,0,265,0,634922,0,0,2993964
Barbados,0,0,0,0,0,3,0,0,0,0,0,0,59,0,0,62
Belarus,0,0,0,13,54,2,0,0,0,0,0,0,5,0,0,74
Belgium,0,0,2,0,4719,28,0,0,0,0,0,0,99,0,0,4848
Belize,0,0,0,0,0,1,0,0,0,0,0,0,1859,0,0,1860
Benin,0,0,0,1369,0,189,0,0,0,0,0,0,0,0,3,1561
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
Bhutan,0,0,12,41,0,222,0,0,0,0,0,0,29,0,0,304
Bolivia (Plurinational State of),0,0,100,550,37,1243,0,0,0,0,334,0,20,0,3,2287
Bosnia and Herzegovina,0,0,0,0,7,30,0,0,0,0,6,0,4,0,0,47
Botswana,0,0,0,655,0,43,0,0,0,0,0,0,0,0,0,698
Brazil,0,20,2,2632,355,7989,0,0,0,0,1745,0,366,0,1,13110
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,131,0,76,82,0,0,0,0,11,0,3,0,10,313
Burkina Faso,0,0,0,17119,0,185,0,0,0,0,0,0,0,0,0,17304
Burundi,0,126,3,789,0,223,0,0,0,0,54,0,23,0,0,1218
Cabo Verde,0,85000,0,251,0,3,0,0,0,0,0,0,41,0,0,85295
Cambodia,0,0,0,788,0,1653,0,0,0,0,0,0,82,0,0,2523
Cameroon,0,0,0,4129,0,131,0,0,0,0,74,0,0,1783,0,6117
Canada,0,0,27,50562,580,51,0,0,0,0,144,161,302,0,119,51946
Canary Is,0,0,0,0,13,23,0,0,0,0,0,0,45,0,0,81
Cayman Islands (the),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Central African Republic,0,0,0,981,0,16,0,0,0,0,0,0,8,0,1,1006
Chad,0,3000,0,7108,0,304,0,0,0,0,52,0,38,0,0,10502
Chile,0,0,58592,1,8,1245,0,0,0,0,251,0,273,110,42,60522
China,0,3503534,652419,1561498,384,6621907,0,0,0,0,5833,500,175043,0,314,12521432
Colombia,0,0,3619,672,0,3610,0,0,0,0,3478,247,72,22826,31,34555
Comoros,0,0,0,86,0,6,0,0,0,0,0,0,567,19,0,678
Congo (Kinshasa),0,0,53,16189,0,739,0,0,0,0,434,0,49,347,11,17822
Congo (the),0,0,0,4508,0,48,0,0,0,0,154,0,0,0,0,4710
Cook Islands,0,0,0,7,0,0,0,0,0,0,0,0,25,0,0,32
Costa Rica,0,0,2616,3,0,148,0,0,0,0,7,0,117,104,0,2995
Côte d’Ivoire,0,0,0,717,0,197,0,0,0,0,27,0,0,0,0,941
Croatia,0,0,9,0,840,4,0,0,0,0,0,0,2,0,13,868
Cuba,0,0,1,3,0,121,0,0,0,0,0,0,5057,0,0,5182
Cyprus,0,0,42,0,61,0,0,0,0,0,0,0,3,0,0,106
Czechia,0,0,0,0,480,100,0,0,0,0,0,0,11,0,0,591
Czechoslovakia,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26
Djibouti,0,0,0,92,0,250,0,0,0,0,0,0,2,0,0,344
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,2140
Dominican Republic,0,0,76,395,0,859,0,0,0,0,0,0,4522,0,0,5852
Ecuador,0,0,12012,1015,0,1011,0,0,0,0,1082,60,0,6,5,15191
Egypt,0,0,596,10291,167,774,0,0,0,0,0,132,152,0,0,12112
El Salvador,0,0,3906,522,1,683,0,0,0,0,86,0,2910,2,0,8110
Equatorial Guinea,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Estonia,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
Ethiopia,0,402367,54,11796,0,2116,0,0,0,0,115,13,0,69,0,416530
Fiji,0,0,0,0,0,71,0,0,0,0,0,0,583,0,0,654
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,58,21,27593,322,0,0,0,0,297,0,469,0,112,28872
French Guiana,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
French Polynesia,0,0,0,0,0,0,0,0,0,0,23,0,8,0,0,31
Gabon,0,0,0,116,0,1,0,0,0,0,0,0,0,0,0,117
Gambia,0,0,0,341,0,70,0,0,0,0,0,0,9,0,0,420
Georgia,0,0,15,0,0,61,0,0,0,0,0,0,0,0,0,76
Germany,0,0,1,0,9424,61,0,0,0,0,5,0,222,0,0,9713
Germany Dem Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany Fed Rep,0,0,0,0,0,13,0,0,0,0,0,0,488,0,0,501
Ghana,0,0,22,1274,0,517,0,0,0,0,0,0,20,0,4,1837
Greece,0,0,1272,0,1129,123,0,0,0,0,0,0,128,0,206,2858
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45
Guadeloupe,0,0,1,0,0,0,0,0,0,0,0,0,2052,0,0,2053
Guam,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18
Guatemala,0,41,27726,633,6,40922,0,0,0,0,678,59,2553,7461,0,80079
Guinea,0,12,275,3630,0,28,0,0,0,0,7,0,4,0,0,3956
Guinea-Bissau,0,0,0,3032,0,5,0,0,0,0,0,0,4,0,3,3044
Guyana,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34
Haiti,0,0,222593,7168,0,4060,0,0,0,0,262,0,15925,0,0,250008
Honduras,0,0,7,266,0,962,0,0,0,0,2800,10,24754,0,0,28799
Hong Kong,0,0,0,299,10,312,0,0,0,0,212,0,23742,0,0,24575
