Country,Type,Deaths
"""Korea, South""",Drought,0
"""Korea, South""",Earthquake,0
"""Korea, South""",Epidemic,179
"""Korea, South""",Extreme temperature,46
"""Korea, South""",Flood,4089
"""Korea, South""",Landslide,405
"""Korea, South""",Storm,4389
"""Korea, South""",Wildfire,3
"""Korea, South""",Total,9111
Afghanistan,Drought,37
Afghanistan,Earthquake,11553
Afghanistan,Epidemic,3845
Afghanistan,Extreme temperature,1934
Afghanistan,Flood,5307
Afghanistan,Insect infestation,0
Afghanistan,Landslide,1822
Afghanistan,Storm,505
Afghanistan,Wildfire,0
Afghanistan,Total,25003
Albania,Drought,0
Albania,Earthquake,626
Albania,Epidemic,7
Albania,Extreme temperature,82
Albania,Flood,23
Albania,Landslide,57
Albania,Storm,8
Albania,Wildfire,0
Albania,Total,803
Algeria,Drought,0
Algeria,Earthquake,6771
Algeria,Epidemic,1
Algeria,Extreme temperature,48
Algeria,Flood,4882
Algeria,Insect infestation,0
Algeria,Landslide,15
Algeria,Storm,27
Algeria,Wildfire,30
Algeria,Total,11774
American Samoa,Earthquake,34
American Samoa,Flood,6
American Samoa,Storm,90
American Samoa,Total,130
Angola,Drought,58
Angola,Epidemic,5316
Angola,Flood,803
Angola,Landslide,13
Angola,Total,6190
Anguilla,Drought,0
Anguilla,Epidemic,0
Anguilla,Flood,0
Anguilla,Storm,9
Anguilla,Total,9
Antigua and Barbuda,Drought,0
Antigua and Barbuda,Storm,13
Antigua and Barbuda,Total,13
Argentina,Drought,8
Argentina,Earthquake,10476
Argentina,Epidemic,73
Argentina,Extreme temperature,185
Argentina,Flood,860
Argentina,Landslide,103
Argentina,Storm,298
Argentina,Volcanic activity,0
Argentina,Wildfire,32
Argentina,Total,12035
Armenia,Drought,0
Armenia,Earthquake,2890
Armenia,Extreme temperature,0
Armenia,Flood,5
Armenia,Landslide,0
Armenia,Storm,0
Armenia,Total,2895
Australia,Drought,600
Australia,Earthquake,12
Australia,Epidemic,0
Australia,Extreme temperature,509
Australia,Flood,323
Australia,Insect infestation,0
Australia,Landslide,28
Australia,Storm,248
Australia,Wildfire,533
Australia,Total,2253
Austria,Earthquake,0
Austria,Extreme temperature,358
Austria,Flood,43
Austria,Landslide,358
Austria,Storm,38
Austria,Total,797
Azerbaijan,Drought,0
Azerbaijan,Earthquake,119
Azerbaijan,Extreme temperature,5
Azerbaijan,Flood,19
Azerbaijan,Landslide,11
Azerbaijan,Total,154
Azores Islands,Earthquake,79
Azores Islands,Landslide,29
Azores Islands,Storm,27
Azores Islands,Total,135
Bahamas,Flood,0
Bahamas,Storm,450
Bahamas,Total,450
Bahrain,Epidemic,111
Bahrain,Total,111
Bangladesh,Drought,1900018
Bangladesh,Earthquake,45
Bangladesh,Epidemic,403203
Bangladesh,Extreme temperature,2524
Bangladesh,Flood,52987
Bangladesh,Landslide,265
Bangladesh,Storm,634922
Bangladesh,Total,2993964
Barbados,Drought,0
Barbados,Earthquake,0
Barbados,Flood,3
Barbados,Storm,59
Barbados,Total,62
Belarus,Epidemic,13
Belarus,Extreme temperature,54
Belarus,Flood,2
Belarus,Storm,5
Belarus,Total,74
Belgium,Drought,0
Belgium,Earthquake,2
Belgium,Epidemic,0
Belgium,Extreme temperature,4719
Belgium,Flood,28
Belgium,Storm,99
Belgium,Total,4848
Belize,Extreme temperature,0
Belize,Flood,1
Belize,Storm,1859
Belize,Total,1860
Benin,Drought,0
Benin,Epidemic,1369
Benin,Flood,189
Benin,Storm,0
Benin,Wildfire,3
